expression,context
op de hak nam,"Bovendien liet de gabberscene hem vallen, omdat het nummer kwalitatief niet kon tippen aan het werk van Hakkûhbar, die de gabberscene wel op de hak nam, maar in ieder geval een degelijke plaat met een knipoog produceerde."
op de hak namen,Het studentikoze gezelschap gaf een eigen 'catalogus' uit waarin ze het gebrek aan vernieuwing op de hak namen.
op de hak neemt,De Bakker schreef ook een boek over Sinterklaas waarin ze de genderdiscussie en het zwartepietendebat op de hak neemt.
op de hak nemen,"Het programma bestaat uit korte sketches die nieuws, actualiteit en social media op de hak nemen."
op de hoogte bracht,"In de nacht van 19 op 20 april 2010 stuurde de familie van een slachtoffer van Vangheluwe een e-mail aan de Belgische bisschoppen, waarin ze hen op de hoogte bracht van jarenlang misbruik van een minderjarige."
op de hoogte brengen,In 2001 werd Massoudi benoemd tot directeur van het museum en in 2003 kon hij president Karzai op de hoogte brengen van de veiliggestelde stukken.
op de hoogte brengt,"Wanneer hij zijn superieuren op de hoogte brengt, wordt hij aangespoord om de zaak stil te houden."
op de hoogte gebracht,Taxis werd op de hoogte gebracht van hun komst en viel uit de stad om de versterkingen tegemoet te rijden.
op de kop getikt,Ik heb op de rommelmarkt een leuke vaas op de kop getikt.
op de loop ging,"De volgende twee jaren kenmerkten zich door strijd tussen Schreiber en Lejeune voor de wereldtitel, waarbij de Belg telkens met de titel op de loop ging."
op de tocht staan,...omdat onze vrijheden op de tocht staan - ...because our freedoms are at stake.
op een haar na,Een jaar later werd de landstitel op een haar na gemist met slechts 1 punt achterstand.
op een haartje na,Uit schuchterheid echter missen ze elkaar op een haartje na.
op het matje geroepen,"In 1473 had hij tijdens een van zijn preken de keizer beledigd en werd daarvoor in Rome op het matje geroepen, maar werd al in 1474 vrijgesproken en mocht zijn werk hervatten."
op het matje roepen,"Noorwegen liet de Duitse ambassadeur op het matje roepen, omdat ervan uitgegaan werd dat Nordreich vanuit Duitsland opereerde."
op het punt gestaan,"Hij kreeg een prijsgeld van ongeveer vijfhonderd guldens, de normale zeventien maanden extra gage die iedereen ontving, wat hem zwaar tegenviel want hij vond dat hij een cruciale rol gespeeld had bij het onderscheppen door in augustus een bark te nemen waarvan de bemanning meldde dat de zilvervloot elk moment kon arriveren, terwijl Heyn al op het punt gestaan had naar Florida te varen."
op het punt staan,Harris kijkt vertwijfeld toe en weet dat zijn praktijken op het punt staan onthuld te worden.
op het punt staat,"Als hij op het punt staat daadwerkelijk te verhuizen, realiseert hij zich echter dat hij moet blijven."
op het punt stond,Hij vernam dat de regering op het punt stond te breken met de vrijhandelspolitiek naar Engels model.
op het punt stonden,"Omdat ze op het punt stonden ingelopen te worden, ontsnapten Rabobankrenner Bram Tankink, Sandy Casar, José Iván Gutiérrez en William Bonnet na 45 kilometer weg uit de kopgroep."
op zijn strepen staat,Hij is iemand die erg op zijn strepen staat en hij houdt er niet van om tegengesproken te worden door het personeel.
oude jongens krentenbrood,Er hing een sfeer van oude jongens krentenbrood op de reünie.
over de kling gejaagd,"Ondanks herhaalde pogingen van sommige baronnen om zich over te geven, werden ze over de kling gejaagd."
over de kling jagen,"De volledige uitdrukking zou volgens Stoett zijn 'iemand het hoofd over de kling jagen', dus: onthoofden."
paarse krokodil,Het begrip paarse krokodil is afkomstig van een televisiereclamespot in 2004 van verzekeringsmaatschappij OHRA.
schering en inslag,Dronkenschap en criminaliteit waren schering en inslag.
soldaten gemaakt,"Golem Soldiers (ゴーレム兵, , Gōremu Hei): Bandora’s soldaten gemaakt uit klei."
soldaten maakten,Wrights soldaten maakten weinig vooruitgang ten zuiden van de Mechanicsville Road door het zware vijandelijke geweervuur.
soldaten maken,Williams wil niets liever dan echte soldaten maken van de 'mietjes'.
sprake van geweest,Volgens De Roy is daar nooit sprake van geweest.
sprake van is,"Pas als daar sprake van is, is er sprake van burgerschap."
sprake van zijn,Zo kon er nooit sprake van zijn dat Frankrijk de soevereiniteit zou bekomen.
steken laten vallen,"De aanklager heeft in de zaak tegen John Doe steken laten vallen, waardoor hij nog op vrije voeten is."
stemming maakte,Bij deze stemming maakte hij gebruik van het lineaire verband tussen de snaarlengte en de consonantie van de eerste vier harmonischen.
tand der tijd,Het is zeldzaam dat dit beeld de tand der tijd overleefd heeft.
tand des tijds,Slechts één kopie heeft de tand des tijds doorstaan.
tanden der tijd,Klassieke Israëlische liederen zijn meestal popliedjes die de tanden der tijd hebben doorstaan.
te maken gehad,De meeste dieren die optreden in films hebben te maken gehad met een dierentrainer.
te maken had,"Voordat de Nuclear Regulatory Commission (NRC) werd opgericht, was alles wat met kernenergie te maken had de verantwoordelijkheid van de AEC."
te maken hadden,"Naast zijn functie als tempel voor de geleerdheid, vonden in de Aula Academica ook heel wat andere gebeurtenissen plaats zoals diverse tentoonstellingen en exposities, die niet altijd met de Universiteit te maken hadden."
te maken heb,"In plaats daarvan verscheen advocaat Robert Kardashian, een vriend van Simpson, die een brief voorlas met de tekst: 'Allereerst moet iedereen begrijpen dat ik niets te maken heb met de dood van Nicole..."
te maken hebben,"Artie en Leech wilden hier niets mee te maken hebben, en ontsnapten met behulp van Generation X. De twee werden juniorleden van Generation X, totdat het team uit elkaar ging."
te maken hebben/hadden,"Er spelen drie muzikanten mee, die direct met Yes te maken hebben/hadden."
te maken hebt,Bijvoorbeeld: 'verwacht u dat het klimaat waar u als ondernemer mee te maken hebt over zes maanden gunstiger of minder gunstig zal zijn dan het huidige klimaat?'
te maken heeft,"Er is gesuggereerd dat het te maken heeft met de oude herders, de voorouders van de Egyptenaren."
ter sprake bracht,"Ze beschrijft een gesprek dat zij met Nietzsche had, waarin hij Klinger en Stirner als volgt ter sprake bracht: 'Ach,' zei hij, 'ik was erg teleurgesteld in Klinger."
ter sprake brengen,Reeds afgedane kwesties uit het verleden opnieuw ter sprake brengen.
ter sprake gebracht,Rond 1960 werd het idee ter sprake gebracht om het station te vervangen door een hoog gebouw.
twee handen op één buik,Vanessa en Cisse waren immers twee handen op één buik.
uit de oude doos,"De gelaarsde kat, een sprookje uit de oude doos."
uit het hoofd,Regisseur Jamie Babbit praatte haar dat echter uit het hoofd aangezien ze veel te mooi was om met enig realisme het 'onzichtbare meisje op school' te spelen.
uit het hoofdambt,"Het vorstendom van Johan Casimir bestond uit het hoofdambt Lautern (Kaiserslautern), het hoofdambt Neustadt en het ambt Sobernheim."
uit het hoofdeiland,"De Puerto Ricaanse archipel bestaat uit het hoofdeiland Puerto Rico en diverse kleinere eilanden, waaronder Vieques, Culebra, en Mona."
uit het hoofdgebouw,Het huidige kasteel bestaat uit het hoofdgebouw en het omliggende domein.
uit het hoofdgedeelte,Adams laat de zeldzame aarden en de 'radioactieve elementen' (i.e. de actiniden) uit het hoofdgedeelte van zijn tabel en hangt ze eronder om tuimte te sparen (zeldzame aarden tussen Ba en eka-Yt; radioactieve elementen tussen eka-Te and eka-I).
uit het hoofdkamp,Groepsgewijs werden rond de zevenduizend gevangenen meegenomen uit het hoofdkamp en de buitencommando's op een lange voettocht.
uit het hoofdkwartier,"Wanneer Jarod erachter komt waar de simulaties voor dienen, ontsnapt hij uit het hoofdkwartier van The Centre en probeert hij een leven op te bouwen in een buitenwereld die hij nooit gekend heeft."
uit het hoofdstad,In 1998 ging de ploeg uit het hoofdstad voor een naamsverandering en werd sindsdien bekend als Büyükşehir Belediye Ankaraspor.
uit het hoofdzakelijk,Het water uit het hoofdzakelijk laaggelegen Salland kon niet naar de rivier afstromen.
uit het vuistje,"De kleuter at de pannenkoek uit het vuistje, zonder bord of bestek, en knoeide al zijn kleren onder."
uit zijn duim gezogen,Vondel had de Sparrewouwer Reus niet uit zijn duim gezogen.
van De Week,"Op 8 oktober 2010 gaf Tori een concert in de Heineken Music Hall te Amsterdam, samen met het Metropole Orkest in het kader van De Week Van Het Metropole."
van alle markten thuis,Professioneel lijkt hij van alle markten thuis; doorheen de verhalen ontwerpt hij zowel een stratosfeervliegtuig als een hangbrug.
van de Week,Bom van de Week.
van de Weekend,Vooral die van de Weekend vallen op door de drie aparte clusters.
van de Weeklacht,Het zijn de beginwoorden van de Weeklacht (Improperia).
van de Weekly,"In een profiel van de Weekly Standard door Matt Labash, wordt hij omschreven als een 'koning van kwaadaardigheid' en de 'opschepperige duistere prins van Republikeinse list en bedrog'."
van de grond gekomen,Deze toepassing is nog niet echt van de grond gekomen omdat op zeeniveau zonlicht nauwelijks straling met de gewenste golflengte (300 nm) heeft.
van de grond komen,"Hij komt tot de conclusie dat 1) theïsme niet op een betekenisvolle manier kan worden uitgedrukt; 2) als theïsme betekenisvol was, dan zou het geen enkele voorspellende kracht hebben ten aanzien van het voorhanden zijnde bewijs(materiaal), waardoor Bayesiaanse argumenten niet van de grond komen; en 3) als de Bayesiaanse cumulatieve strategie wél werkte, dan zou men moeten concluderen dat atheïsme waarschijnlijker is dan theïsme."
van de grond komt,"Als natuurlijke verjonging niet goed van de grond komt, kunnen er hulpmaatregelen genomen worden, zoals het bewerken van de bodem of het beschermen tegen wildvraat."
van de grond kwam,"In 1958 nam filmacteur Gordon Scott, die Tarzan voor- en nadien vertolkte in meerdere televisie- en lange speelfilms, ook drie afleveringen op voor een eventuele televisieserie, die echter nooit van de grond kwam."
van de grond kwamen,"Luns voorganger Manlio Brosio werd door de NAVO aangesteld om met Moskou in gesprek te gaan over de ontwapening, maar kreeg van de Russen geen uitnodiging waardoor de plannen niet van de grond kwamen."
van de hoed en de rand weten,"1978 March, 'Prikken voor de tropen', De Kampioen, vol. 93, issue 3, page 234. Ons land kent twee instellingen die van de hoed en de rand weten als het om vaccinaties voor tropische landen gaat: het Koninklijk Instituut voor de Tropen en de KLM."
van de pot gerukt,Die ouwe rukker is helemaal van de pot gerukt!
van de week,Aan het eind van de week gingen er twee kandidaten door naar de finalerondes.
van de week'-afleveringen,"Ten gevolge van ABC's opmerkingen voor een wat lichtere invulling van de serie steeg het aantal 'monster van de week'-afleveringen, hoewel er toch nog enkele afleveringen zijn die teruggrepen naar de thema's uit het eerste seizoen."
van de weekdag,Naast de feestdagen bevat de kalender de gegevens voor het berekenen van de weekdag in een willekeurig jaar: de numerus aureus in de eerste kolom en de zondagsletter in de tweede kolom.
van de weekdagen,Langs de Cruquiusweg komen in de 19de eeuw ook zeven entrepotpakhuizen met de namen van de weekdagen.
van de weekdieren,Parelmoer (ook paarlemoer gespeld) is een onderdeel van de schelp van de weekdieren.
van de weekend-uitgave,Freeland werkte later als plaatsvervangend eindredacteur voor de Financial Times in Londen en daarna als eindredacteur van de weekend-uitgave van de krant en van FT.com.
van de weekendkaterns,Elke zaterdag wordt in een van de weekendkaterns in het Reformatorisch Dagblad enkele pagina's aan de Kits gewijd.
van de weekgetijden,"Dit getijde is trouwens, van de weekgetijden, het enige in de vorm van het normale getijdengebed, ook wel 'lange' getijden genoemd, in tegenstelling tot de weekgetijden die men 'korte' getijden noemt."
van de weeklachten,"In de Griekse mythologie is de Cocytus of 'Kokytos', de rivier van de weeklachten, een rivier in de onderwereld, ook wel Hades genoemd, die uitvloeit in de Acheron."
van de weekopdrachten,Ook de keuze van de weekopdrachten was volgens velen niet geweldig.
van de weke,In het laatste geval wordt de verdikking niet door extra botafzetting maar door verdikking van de weke delen veroorzaakt.
van de weken,"Zij weigert, en zo brengt hij een grote periode van de weken door in New York, waardoor hij zijn gezin steeds minder bezoekt."
van heb ik jou daar,Ik werd na het feest wakker met een kater van heb ik jou daar.
van het kastje naar de muur,Het is voorstelbaar dat zo iemand door verschillende call centers van het kastje naar de muur wordt gestuurd.
van kant maken,Bela wil zich van kant maken.
van stal halen,"Het van stal halen van Marks was opmerkelijk, omdat hij officieel slechts twee jaar deel uitmaakte van de groep, van 1962 tot 1963."
voet bij stuk gehouden,Thijssen had voet bij stuk gehouden en hij had aan de opdracht van Koot geen gevolg gegeven.
voet bij stuk hield,Omdat Cox voet bij stuk hield besloot Nixon dat hij moest worden ontslagen.
voet bij stuk houden,"Ondanks dat de voetbalkenners het over eens waren dat Kalou van meerwaarde voor het Nederlands elftal zou zijn, bleef Verdonk voet bij stuk houden en wees het verzoek voor een tweede maal af."
voor de gek gehouden,Dit visioen toonde de profeten van Achab dat ze voor de gek gehouden waren.
voor de gek hield,"Hij was door de auditie in Seattle gekomen, omdat hij de castingpersonen voor de gek hield: Hij beweerde een Italiaanse immigrant te zijn."
voor de gek houden,Rachel denkt dat de dorpelingen haar voor de gek houden.
voor de gek houdt,"Tot ergernis van Brooks gedraagt zij zich alsof dit wel zo is, waarmee ze voornamelijk zichzelf voor de gek houdt."
voor de hand lag,"De meeste hoogwaardigheidsbekleders van de nazi's namen aan dat het voor de hand lag dat Metz, waar veel Duitse legerofficieren waren geboren een Duitse stad was."
voor de hand liggen,Indien ze voor de leken bestemd waren zou de west-oost volgorde van de beelden meer voor de hand liggen.
voor de hand liggend,"Het dagelijks leven is het patroon van gebruikelijke handelingen en bezigheden die in een bepaalde periode door de meeste mensen als voor de hand liggend beschouwd worden, gebeurtenissen of daden die geen bijzonder karakter hebben en volgens een min of meer regelmatig ritme terugkeren."
voor de hand liggende,"Als R {\displaystyle R} een ring is en n {\displaystyle n} een natuurlijk getal, dan is het n {\displaystyle n} -voudig cartesisch product R n {\displaystyle R^{n}} onder de voor de hand liggende samengestelde operaties, zowel een linker- als een rechtermoduul over R {\displaystyle R} ."
voor de hand ligt,Meer voor de hand ligt dat het stuk later is afgedankt.
voor de kat z'n viool,"Geweldig zo'n jaar: finale US Open verloren, in Atlanta olympisch goud verspeeld, in het hele jaar twee singles gewonnen en een tripje Peking voor de kat z'n viool. Great year: lost the US Open final, squandered olympic gold in Atlanta, won two singles in a whole year and had a trip to Beijing that was in vain."
voor de kat zijn viool,Iets voor de kat zijn viool doen.
voor lief genomen,De sluiting van vele bedrijven en het verlies van duizenden arbeidsplaatsen werd daarbij voor lief genomen.
voor lief nemen,"In de boeken en radioserie is hij desondanks erg charismatisch, waardoor veel mensen zijn slechte eigenschappen negeren of voor lief nemen."
vreemde eend in de bijt,Akke Impens door Aron Wade (seizoen 1-5) Akke is de vreemde eend in de bijt.
weet waar Abraham de mosterd haalt,Hij weet waar Abraham de mosterd haalt.
zich zorgen maken,Het maakt deel uit van een groeiende onrust onder Chinese politici die zich zorgen maken over de toenemende invloed van de Koreaanse popcultuur op de Chinese bevolking sinds het vergelijkbare succes van My Love from the Star in 2014.
zijn biezen pakken,"Hij tekende voor twee jaar., maar kon al in september zijn biezen pakken."
zijn eigen boontjes doppen,"Hij werd, voor zover bekend, daarom onterfd en moest zijn eigen boontjes doppen."
zijn pappenheimers kennen,"De titel komt uit het spreekwoord zijn pappenheimers kennen, wat zoveel wil zeggen als weten wat men aan mensen heeft."
zoete broodjes bakken,"2007, Jeanette Molema, kwaad daglicht, Callenbach, first edition, 43. Davita loopt op haar af en zegt rustig: 'Sorry, wat ik gisteren tegen je zei was niet aardig.' Ria's gezicht staat ineens hooghartig. 'Gaan we zoete broodjes bakken?' zegt ze sarcastisch."
